110    1.90 	1.76 	1.76  0.95 1.27  2.46	  3.29
115    1.56 	1.46 	1.46  0.78 1.05  2.03	  2.73
120    1.41 	1.25 	1.25  0.67 0.90  1.74	  2.33
130    1.18 	1.16 	1.16  0.62 0.83  1.61	  2.16
140    1.19 	1.08 	1.08  0.58 0.78  1.51	  2.02
150    1.06 	1.02 	1.02  0.55 0.73  1.42	  1.90
160    0.77 	0.79 	0.79  0.42 0.57  1.10	  1.47
170    0.73 	0.73 	0.73  0.39 0.53  1.01	  1.36
180    0.75 	0.85 	0.85  0.45 0.61  1.18	  1.58
190    0.93 	1.11 	1.11  0.59 0.80  1.54	  2.07
200    1.13 	1.33 	1.33  0.71 0.96  1.85	  2.48
250    1.89 	2.25 	2.25  1.21 1.62  3.13	  4.20
300    3.00 	3.15 	3.15  1.69 2.27  4.39	  5.88
350    3.81 	4.18 	4.18  2.24 3.01  5.81	  7.79
400    5.86 	5.92 	5.92  3.18 4.27  8.24	 11.05
450    7.35 	8.23 	8.23  4.42 5.93 11.45	 15.35
500    8.68 	10.48	10.48 5.63 7.55 14.59	 19.56
550    11.11	13.91	13.91 7.46 10.0 19.35	 25.94
600    13.03	17.45	17.45 9.36 12.57 24.28	 32.54
