110  23.1288  22.68391       22.68391 12.17273   16.34191	31.56345   42.31304
115  14.2836  14.51518       14.51518  7.78919   10.45700	20.19709   27.07563
120  9.85479  10.01065       10.01065  5.37196    7.21186	13.92929   18.67320
125  7.39019   7.29232        7.29232  3.91323    5.25352	10.14687   13.60259
130  5.76894   5.65239        5.65239  3.03321    4.07209	 7.86500   10.54359
135  4.93699   4.76488        4.76488  2.55695    3.43270	 6.63007    8.88808
140  4.14617   4.03108        4.03108  2.16317    2.90406	 5.60903    7.51930
150  3.4855    3.36115        3.36115  1.80367    2.42143	 4.67686    6.26966
160  2.95747   2.77090        2.77090  1.48693    1.99621	 3.85556    5.16865
170  3.84318   3.52898        3.52898  1.89373    2.54234	 4.91039    6.58272
180  4.70969   4.79760        4.79760  2.57451    3.45628	 6.67560    8.94912
190  8.68108   7.96804        7.96804  4.27584    5.74032	11.08710   14.86304
200  12.056   12.27011       12.27011  6.58443    8.83961	17.07320   22.88784
