110  67.7185  44.35976       44.35976 23.80450   31.95759	61.72423   82.74570
115  41.8182  45.61996       45.61996 24.48076   32.86546	63.47772   85.09638
120  35.0664  37.55593       37.55593 20.15341   27.05599	52.25707   70.05430
125  29.3899  30.69494       30.69494 16.47163   22.11320	42.71036   57.25626
130  23.9835  24.27634       24.27634 13.02726   17.48912	33.77922   45.28344
135  19.3463  18.92007       18.92007 10.15296   13.63037	26.32626   35.29222
140  14.6223  14.45517       14.45517  7.75699   10.41377	20.11359   26.96369
150  8.50557   8.28529        8.28529  4.44608    5.96888	11.52854   15.45482
160  3.92956   3.67824        3.67824  1.97383    2.64987	 5.11808    6.86115
170  3.98599   3.65580        3.65580  1.96179    2.63371	 5.08685    6.81929
180  4.7368    4.85238        4.85238  2.60390    3.49574	 6.75183    9.05130
190  8.73789   7.92440        7.92440  4.25242    5.70889	11.02638   14.78165
200  11.9909  12.33158       12.33158  6.61742    8.88390	17.15873   23.00249
